Gene Mut Mean_score Value Simulations Pval Qval
ENSG00000237035 1 0.652175 20 100 0.2 1
ENSG00000237685 1 0.215732666666667 20 100 0.2 1
ENSG00000248118 2 0.00181716666666667 20 100 0.2 1
ENSG00000249497 2 0.0842581666666666 20 100 0.2 1
ENSG00000249650 1 0.248132666666667 20 100 0.2 1
ENSG00000250312 1 0.180953666666667 20 100 0.2 1
ENSG00000251136 2 0.418012833333333 20 100 0.2 1
ENSG00000258026 1 0.259857333333333 20 100 0.2 1
ENSG00000258902 2 0.830345166666667 20 100 0.2 1
ENSG00000259436 1 0.230754333333333 20 100 0.2 1
ENSG00000259901 1 0.152394333333333 20 100 0.2 1
ENSG00000260034 2 0.2825085 20 100 0.2 1
ENSG00000260515 2 0.163184333333333 20 100 0.2 1
ENSG00000264630 1 0.388723333333333 20 100 0.2 1
ENSG00000269495 1 0.899582 20 100 0.2 1
ENSG00000272235 1 0.02236 20 100 0.2 1
ENSG00000218018 1 0.391959666666667 21 100 0.21 1
ENSG00000224187 1 0.832140333333333 21 100 0.21 1
ENSG00000224614 1 0.383595333333333 21 100 0.21 1
ENSG00000226688 1 0.467104666666667 21 100 0.21 1
ENSG00000226861 1 1.24891666666667 21 100 0.21 1
ENSG00000237149 1 1.87074733333333 21 100 0.21 1
ENSG00000249364 1 0.599360333333333 21 100 0.21 1
ENSG00000255458 1 0.488448666666667 21 100 0.21 1
ENSG00000255998 1 0.238985 21 100 0.21 1
ENSG00000256982 1 0.390849333333333 21 100 0.21 1
ENSG00000257124 1 0.390503333333333 21 100 0.21 1
ENSG00000267243 1 0.847668333333333 21 100 0.21 1
ENSG00000268532 3 -0.00194344444444444 21 100 0.21 1
ENSG00000269736 1 0.0444586666666667 21 100 0.21 1
ENSG00000272205 1 0.600610333333333 21 100 0.21 1
ENSG00000226101 1 0.669259666666667 22 100 0.22 1
ENSG00000227400 1 0.160931666666667 22 100 0.22 1
ENSG00000229950 1 1.33134433333333 22 100 0.22 1
ENSG00000234661 2 1.24163083333333 22 100 0.22 1
ENSG00000238169 1 0.168474666666667 22 100 0.22 1
ENSG00000243081 1 0.088347 22 100 0.22 1
ENSG00000245667 1 0.018848 22 100 0.22 1
ENSG00000248339 1 0.102329333333333 22 100 0.22 1
ENSG00000254865 2 0.104767333333333 22 100 0.22 1
ENSG00000258377 1 4.33677766666667 22 100 0.22 1
ENSG00000259915 1 0.173019333333333 22 100 0.22 1
ENSG00000261467 1 0.370356666666667 22 100 0.22 1
ENSG00000261824 1 0.327210666666667 22 100 0.22 1
ENSG00000263126 2 1.81223283333333 22 100 0.22 1
ENSG00000267509 1 0.0182776666666667 22 100 0.22 1
ENSG00000270876 1 0.308546333333333 22 100 0.22 1
