Gene Exonic_mutations Pval Qval
ENSG00000272669.1 1 0.05 0.35086186540732
ENSG00000273009.1 1 0.05 0.35086186540732
ENSG00000224223.1 2 0.055 0.35086186540732
ENSG00000231272.1 1 0.055 0.35086186540732
ENSG00000232623.1 1 0.055 0.35086186540732
ENSG00000234390.4 2 0.055 0.35086186540732
ENSG00000235356.1 1 0.055 0.35086186540732
ENSG00000236064.1 2 0.055 0.35086186540732
ENSG00000236859.2 2 0.055 0.35086186540732
ENSG00000248192.1 1 0.055 0.35086186540732
ENSG00000250320.1 2 0.055 0.35086186540732
ENSG00000253284.2 3 0.055 0.35086186540732
ENSG00000254136.1 1 0.055 0.35086186540732
ENSG00000256342.1 1 0.055 0.35086186540732
ENSG00000259840.1 1 0.055 0.35086186540732
ENSG00000260659.1 1 0.055 0.35086186540732
ENSG00000260793.2 1 0.055 0.35086186540732
ENSG00000264643.1 1 0.055 0.35086186540732
ENSG00000267161.1 2 0.055 0.35086186540732
ENSG00000267443.1 1 0.055 0.35086186540732
ENSG00000267986.1 1 0.055 0.35086186540732
ENSG00000272815.1 1 0.055 0.35086186540732
ENSG00000203565.2 1 0.06 0.35086186540732
ENSG00000212663.2 1 0.06 0.35086186540732
ENSG00000224549.1 1 0.06 0.35086186540732
ENSG00000226375.1 1 0.06 0.35086186540732
ENSG00000226983.2 3 0.06 0.35086186540732
ENSG00000227660.1 1 0.06 0.35086186540732
ENSG00000232271.1 1 0.06 0.35086186540732
ENSG00000232500.1 1 0.06 0.35086186540732
ENSG00000233791.1 2 0.06 0.35086186540732
ENSG00000240801.1 1 0.06 0.35086186540732
ENSG00000248749.1 1 0.06 0.35086186540732
ENSG00000249731.1 1 0.06 0.35086186540732
ENSG00000250034.1 1 0.06 0.35086186540732
ENSG00000250241.1 4 0.06 0.35086186540732
ENSG00000251330.3 1 0.06 0.35086186540732
ENSG00000253911.1 1 0.06 0.35086186540732
ENSG00000254277.1 1 0.06 0.35086186540732
ENSG00000258412.1 1 0.06 0.35086186540732
ENSG00000258853.1 1 0.06 0.35086186540732
ENSG00000259254.1 1 0.06 0.35086186540732
ENSG00000259579.1 1 0.06 0.35086186540732
ENSG00000260660.1 2 0.06 0.35086186540732
ENSG00000260852.1 3 0.06 0.35086186540732
ENSG00000260911.1 1 0.06 0.35086186540732
ENSG00000260973.1 1 0.06 0.35086186540732
ENSG00000260990.1 1 0.06 0.35086186540732
ENSG00000261298.1 1 0.06 0.35086186540732
ENSG00000272788.1 1 0.06 0.35086186540732
ENSG00000272862.1 1 0.06 0.35086186540732
ENSG00000273295.1 2 0.06 0.35086186540732
ENSG00000273374.1 2 0.06 0.35086186540732
ENSG00000223537.2 1 0.065 0.35086186540732
ENSG00000224574.1 1 0.065 0.35086186540732
ENSG00000225166.1 1 0.065 0.35086186540732
ENSG00000227704.1 1 0.065 0.35086186540732
ENSG00000228682.2 1 0.065 0.35086186540732
ENSG00000229437.1 1 0.065 0.35086186540732
ENSG00000231867.1 1 0.065 0.35086186540732
ENSG00000232200.2 1 0.065 0.35086186540732
ENSG00000232545.1 1 0.065 0.35086186540732
ENSG00000232611.1 2 0.065 0.35086186540732
ENSG00000235914.1 2 0.065 0.35086186540732
ENSG00000242049.1 1 0.065 0.35086186540732
ENSG00000248115.1 3 0.065 0.35086186540732
ENSG00000248203.1 1 0.065 0.35086186540732
ENSG00000249708.1 1 0.065 0.35086186540732
ENSG00000250385.1 1 0.065 0.35086186540732
ENSG00000253427.1 1 0.065 0.35086186540732
ENSG00000253740.1 1 0.065 0.35086186540732
ENSG00000254178.1 1 0.065 0.35086186540732
ENSG00000254869.1 1 0.065 0.35086186540732
ENSG00000255414.1 2 0.065 0.35086186540732
ENSG00000261061.1 1 0.065 0.35086186540732
ENSG00000261638.1 1 0.065 0.35086186540732
ENSG00000262979.1 1 0.065 0.35086186540732
ENSG00000266922.1 1 0.065 0.35086186540732
ENSG00000267067.1 1 0.065 0.35086186540732
ENSG00000269737.1 1 0.065 0.35086186540732
ENSG00000269954.1 1 0.065 0.35086186540732
ENSG00000271763.1 1 0.065 0.35086186540732
ENSG00000271956.1 2 0.065 0.35086186540732
ENSG00000272742.1 1 0.065 0.35086186540732
ENSG00000218018.2 1 0.07 0.35086186540732
ENSG00000229191.1 1 0.07 0.35086186540732
